hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
hepaMMMMMMis 	 100256670 	 91.0846430470 	 .0076923076 	 2 	 4 	 9 	 106569
abortion 	 100256670 	 51.2351192973 	 .0038461538 	 1 	 4 	 8 	 106569
pagov 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
DRC 	 100256670 	 136.6270454606 	 .0076923076 	 2 	 2 	 6 	 106569
Ebola 	 100256670 	 204.9405699670 	 .0115384615 	 3 	 3 	 6 	 106569
SB2536 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
nmpol 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
GaPol 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 1 	 3 	 106569
Russia 	 100256670 	 11 6 2 1 .1686058272 	 11 6 2 1 .0038461538 	 11 6 2 1 1 	 1029 	 2431 	 106569
Poland 	 100256670 	 3.9036265026 	 .0038461538 	 1 	 42 	 105 	 106569
Bulgaria 	 100256670 	 58.5544331971 	 .0038461538 	 1 	 4 	 7 	 106569
Ukraine 	 100256670 	 14 2 1 .0000006325 232 .0000656851 	 14 2 1 .0038461538 	 14 2 1 1 	 2509 83 4 	 6080 232 7 	 106569
hepaMMMMMMis 	 100256670 	 91.0846430470 	 .0076923076 	 2 	 4 	 9 	 106569
Covid 	 100256670 	 1.3053527708 	 .0038461538 	 1 	 102 	 314 	 106569
RussianWarCrimes 	 100256670 	 3.5954455397 	 .0038461538 	 1 	 13 	 114 	 106569
Navalny 	 100256670 	 45.5423215235 	 .0038461538 	 1 	 3 	 9 	 106569
GovRonDeSantis 	 100256670 	 68.3135227303 	 .0038461538 	 1 	 4 	 6 	 106569
CNN 	 100256670 	 1 12.4206304687 	 1 .0038461538 	 1 1 	 14 	 33 	 106569
MSNBC 	 100256670 	 14.6386027277 	 .0038461538 	 1 	 9 	 28 	 106569
blacktwitter 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 2 	 3 	 106569
MyFlorida 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 2 	 3 	 106569
RNC 	 100256670 	 81.9762563968 	 .0038461538 	 1 	 2 	 5 	 106569
CerroPeladoFire 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
JemezMountains 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Ebola 	 100256670 	 204.9405699670 	 .0115384615 	 3 	 3 	 6 	 106569
DRC 	 100256670 	 136.6270454606 	 .0076923076 	 2 	 2 	 6 	 106569
Ebola 	 100256670 	 204.9405699670 	 .0115384615 	 3 	 3 	 6 	 106569
DeSantis 	 100256670 	 1 15.7646504760 	 1 .0038461538 	 1 1 	 9 	 26 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
WarnerBrosDiscovery 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
DavidZaslav 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Putin 	 100256670 	 1.0857768664 	 .0076923076 	 2 	 228 	 755 	 106569
Russia 	 100256670 	 11 6 2 1 .1686058272 	 11 6 2 1 .0038461538 	 11 6 2 1 1 	 1029 	 2431 	 106569
McBrideFire 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
Russian 	 100256670 	 6 2 1 .4539100402 	 6 2 1 .0038461538 	 6 2 1 1 	 397 	 903 	 106569
covid19 	 100256670 	 1.3482919986 	 .0038461538 	 1 	 91 	 304 	 106569
America 	 100256670 	 16.3952373015 	 .0038461538 	 1 	 8 	 25 	 106569
DemocracyInChains 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
TheDropout 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
JamalKhashoggi 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
landmines 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Oxxxymiron 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Berlin 	 100256670 	 11.3855770104 	 .0038461538 	 1 	 18 	 36 	 106569
Ukraine 	 100256670 	 14 2 1 .0000006325 232 .0000656851 	 14 2 1 .0038461538 	 14 2 1 1 	 2509 83 4 	 6080 232 7 	 106569
PaulGosar 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
Russian 	 100256670 	 6 2 1 .4539100402 	 6 2 1 .0038461538 	 6 2 1 1 	 397 	 903 	 106569
OpportunityZones 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
SCOTUS 	 100256670 	 34.8264718798 	 .0500000000 	 13 	 49 	 153 	 106569
NEW 	 100256670 	 39.0362689883 	 .0076923076 	 2 	 11 	 21 	 106569
bookban 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 1 	 3 	 106569
UAarmy 	 100256670 	 34.1567310313 	 .0038461538 	 1 	 2 	 12 	 106569
Irpin 	 100256670 	 6.9471318397 	 .0038461538 	 1 	 27 	 59 	 106569
Ukraine 	 100256670 	 14 2 1 .0000006325 232 .0000656851 	 14 2 1 .0038461538 	 14 2 1 1 	 2509 83 4 	 6080 232 7 	 106569
graphictruth 	 100256670 	 136.6272881313 	 .0038461538 	 1 	 1 	 3 	 106569
SARSCoV2 	 100256670 	 4.8795330044 	 .0076923076 	 2 	 62 	 168 	 106569
COVID19 	 100256670 	 .6725972589 	 .0192307692 	 5 	 1096 	 3047 	 106569
SB90 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
heartland 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
ivermectin 	 100256670 	 68.3135227303 	 .0038461538 	 1 	 2 	 6 	 106569
COVID 	 100256670 	 5 .9444257389 	 5 .0038461538 	 5 1 	 169 	 434 	 106569
